POI_ID;ADDRESS;"﻿""DESCRIPTION""";NAME;GeoJSON;geo_point_2d
1151;303 GRANDTRUNK EAST AVE;Park;TRILLIUM RIDGE PARK;"{""type"": ""Point"", ""coordinates"": [-76.55097801744382, 44.25198181335517]}";44.2519818134,-76.5509780174
91;33 BAGOT ST;Monument;BARRIE ST WAR MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48990849239742, 44.2250210231727]}";44.2250210232,-76.4899084924
96;1 KING ST E;Monument;MEMORIAL PARK ORNAMENTAL STATUE;"{""type"": ""Point"", ""coordinates"": [-76.49004732718839, 44.22275399860894]}";44.2227539986,-76.4900473272
100;23 ONTARIO ST;Monument;STEAM MUSEUM MARINE MONUMENT;"{""type"": ""Point"", ""coordinates"": [-76.4841673598859, 44.223942603618006]}";44.2239426036,-76.4841673599
104;33 BAGOT ST;Monument;WWII ARTILLERY MEMORIAL;"{""type"": ""Point"", ""coordinates"": [-76.48988196751534, 44.22350088971107]}";44.2235008897,-76.4898819675
108;151 ORDNANCE ST;Monument;MCBURNEY PARK CANNON;"{""type"": ""Point"", ""coordinates"": [-76.4883269713707, 44.2351606469935]}";44.235160647,-76.4883269714
887;540 PALACE RD;Place of Worship;KINGSTON ALLIANCE CHURCH;"{""type"": ""Point"", ""coordinates"": [-76.51498703086754, 44.23996991966322]}";44.2399699197,-76.5149870309
852;2 FORT HENRY DR;Historic Site;FORT HENRY NATIONAL HISTORIC SITE;"{""type"": ""Point"", ""coordinates"": [-76.4605689927037, 44.229970669508134]}";44.2299706695,-76.4605689927
954;792 HENDERSON BLVD;Swimming Pool;LAKESHORE SWIMMING POOL;"{""type"": ""Point"", ""coordinates"": [-76.57805220536306, 44.229034010554656]}";44.2290340106,-76.5780522054
968;375 MACDONNELL ST;Parkette;RIDEAU SCHOOL PARKETTE;"{""type"": ""Point"", ""coordinates"": [-76.50516763961807, 44.236429719808314]}";44.2364297198,-76.5051676396
946;23 ONTARIO ST;Museum;PUMP HOUSE STEAM MUSEUM;"{""type"": ""Point"", ""coordinates"": [-76.48470844927182, 44.22411301427576]}";44.2241130143,-76.4847084493
44;1455 BATH RD;Penitentiary;COLLINS BAY INSTITUTION;"{""type"": ""Point"", ""coordinates"": [-76.55339036943461, 44.23563114533616]}";44.2356311453,-76.5533903694
998;1280 COVERDALE DR;Park;ROTARY PARK;"{""type"": ""Point"", ""coordinates"": [-76.60593141656076, 44.23743254490211]}";44.2374325449,-76.6059314166
1004;;Park;MOLLY BRANT POINT;"{""type"": ""Point"", ""coordinates"": [-76.47951936477524, 44.241256533594644]}";44.2412565336,-76.4795193648
780;244 MCMAHON AVE;Education Facility;QUINTILIAN PRIVATE SCHOOL OF KINGSTON;"{""type"": ""Point"", ""coordinates"": [-76.52248023411579, 44.24957519795469]}";44.249575198,-76.5224802341
4349;1476 HANOVER DR;Playground;MIDLAND PARK PLAYGROUND 1;"{""type"": ""Point"", ""coordinates"": [-76.58030519343875, 44.27427484124764]}";44.2742748412,-76.5803051934
546;15 OAK ST;Soccer Field;MAX JACKSON PARK SOCCER FIELD;"{""type"": ""Point"", ""coordinates"": [-76.50369981520764, 44.2510946644969]}";44.2510946645,-76.5036998152
1723;12 O'KILL ST;Queen's University;QUINTE THOUSAND ISLANDS LODGE;"{""type"": ""Point"", ""coordinates"": [-76.49103624877101, 44.22325683070907]}";44.2232568307,-76.4910362488
178;4 YACHT CLUB LN;Playground;ARROWHEAD BEACH RECREATION AREA (CFB) PLAYGROUND;"{""type"": ""Point"", ""coordinates"": [-76.45011433401777, 44.23510209987711]}";44.2351020999,-76.450114334
2876;62 FIFTH FIELD COMPANY LN;Radio Station;CFRC RADIO 101.9 FM;"{""type"": ""Point"", ""coordinates"": [-76.49368179863751, 44.22638682328164]}";44.2263868233,-76.4936817986
1172;68 CLARENCE ST;Park;BOUCHER PARK;"{""type"": ""Point"", ""coordinates"": [-76.48260979207353, 44.22978455785696]}";44.2297845579,-76.4826097921
